id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475327,01-01-2010 00:01,1556,2972,$-77.00,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475334,01-01-2010 00:09,1556,2972,$77.00,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475340,01-01-2010 00:26,1556,2972,$39.63,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475346,01-01-2010 00:34,394,4717,$26.04,Online Transaction,39021,ONLINE,,,4784,
7475353,01-01-2010 00:43,301,3742,$10.17,Online Transaction,39021,ONLINE,,,4784,
7475360,01-01-2010 00:49,652,4293,$2.40,Swipe Transaction,74624,East Hartford,CT,6108,5411,
7475366,01-01-2010 01:03,1703,2969,$78.00,Swipe Transaction,43293,Grand Junction,CO,81506,5499,
7475373,01-01-2010 01:11,1642,4281,$3.96,Swipe Transaction,44625,Manasquan,NJ,8736,5812,
7475380,01-01-2010 01:23,1703,2969,$71.72,Swipe Transaction,43293,Grand Junction,CO,81506,5499,
7475389,01-01-2010 01:40,1787,2228,$3.77,Swipe Transaction,20519,Lexington,KY,40515,5942,
7475397,01-01-2010 01:48,989,4124,$541.29,Swipe Transaction,40475,Arlington Heights,IL,60005,7802,
7475403,01-01-2010 01:56,760,5876,$52.98,Online Transaction,39021,ONLINE,,,4784,
7475412,01-01-2010 02:06,1024,1006,$3.83,Swipe Transaction,2177,Colwich,KS,67030,5411,
7475419,01-01-2010 02:12,1424,4710,$2.31,Swipe Transaction,95811,Seligman,AZ,86337,5411,
7475425,01-01-2010 02:16,241,58,$38.11,Online Transaction,17976,ONLINE,,,4900,
7475432,01-01-2010 02:25,1214,5508,$51.58,Online Transaction,98436,ONLINE,,,5192,
7475439,01-01-2010 02:35,1998,2160,$0.75,Swipe Transaction,99312,Burlingame,CA,94010,5411,
7475446,01-01-2010 02:48,1411,1069,$4.04,Swipe Transaction,10455,Saint Charles,IL,60174,5812,
7475454,01-01-2010 02:57,1459,3383,$2.75,Swipe Transaction,47756,Albuquerque,NM,87121,5411,
7475460,01-01-2010 03:08,957,4532,$-147.00,Swipe Transaction,44795,Marysville,OH,43040,3780,
7475466,01-01-2010 03:17,319,248,$29.60,Swipe Transaction,54850,Fresno,CA,93727,4814,
7475473,01-01-2010 03:29,895,1116,$35.23,Swipe Transaction,45188,Big Bear Lake,CA,92315,5651,
7475479,01-01-2010 03:51,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,NY,10801,5411,
7475486,01-01-2010 04:01,421,2177,$96.63,Swipe Transaction,20561,Ottumwa,IA,52501,5912,
7475492,01-01-2010 04:17,1920,2791,$33.19,Swipe Transaction,35001,Oak Park,MN,56357,5813,
7475498,01-01-2010 04:27,1736,113,$55.79,Swipe Transaction,24823,Brooklyn,NY,11211,7538,
7475506,01-01-2010 04:38,839,4725,$74.76,Swipe Transaction,32175,Danbury,CT,6810,7538,
7475512,01-01-2010 04:51,1563,5125,$1.14,Swipe Transaction,14528,Los Angeles,CA,90004,5499,
7475518,01-01-2010 04:58,1148,5804,$2.68,Swipe Transaction,59935,Philadelphia,PA,19146,5499,
7475524,01-01-2010 05:12,1445,3722,$4.43,Online Transaction,39021,ONLINE,,,4784,
7475531,01-01-2010 05:20,1356,4752,$48.76,Swipe Transaction,76639,Fond Du Lac,WI,54935,5732,
7475538,01-01-2010 05:38,470,5097,$6.83,Swipe Transaction,22938,Wister,OK,74966,5812,
7475544,01-01-2010 05:43,185,5361,$2.91,Swipe Transaction,25705,Elizabeth,NJ,7201,5411,
